2022-12-14 16:50:41 ;141;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:50:39 ;813;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:50:33 ;344;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:50:31 ;329;2106;Fallo señal de medida temperatura de los bobinados L1 generador;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;329;1114;Falla de señal de medición temperatura de carga ;M02            ;A;;;;;;;;;
2022-12-14 16:50:31 ;329;2107;Fallo señal de medida temperatura de los bobinados L2 generador;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;329;2108;Fallo señal de medida temperatura de los bobinados L3 generador;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;329;3526;Falla de señal de medición temperatura de retorno ante motor;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;250;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:50:31 ;329;2110;Temp. de los cojinetes del generador lado opuesto al accionamiento NDE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;250;2101;Fallo señal de medida  de temperatura agua de camisas;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;329;2109;Temp. de los cojinetes del generador lado de accionamiento DE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;250;2102;Fallo señal de medida de temperatura del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:50:31 ;250;3223;Falla de señal de medición temperatura de aire de aspiración;M02            ;W;;;;;;;;;
2022-12-14 16:50:30 ;344;3152;Fallo señal de medida de temperatura ambiente;M02            ;W;;;;;;;;;
2022-12-14 16:50:28 ;563;1145;Temperatura minima de agua camisas;M02            ;W;Hyd.TempCoolWat;0;192;;;;;;
2022-12-14 16:50:28 ;313;3564;Falla válvulas de turboderivación;M02            ;W;;;;;;;;;
2022-12-14 16:50:28 ;188;1192;Fallo actuador;M02            ;W;;;;;;;;;
2022-12-14 16:50:27 ;344;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:50:27 ;344;2104;Fallo señal de medida de presion agua de camisas;M02            ;W;;;;;;;;;
2022-12-14 16:50:26 ;844;3003;Fallo señal de medida ;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1052;Prealarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;813;2103;Fallo señal de medida de presion del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:50:26 ;313;1053;Alarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1036;Generador sobrecarga/cortocircuito;M02            ;A;MMD.CurrMax1;2381;192;MMD.CurrMax2;4058;192;MMD.CurrMax3;2875;192
2022-12-14 16:50:26 ;313;1054;Alarma fuego;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1031;Parada de emergencia / circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1056;Circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1073;Conversor múltiple: sobrecarga del generador/cortocircuito;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1232;Desconectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:50:26 ;313;1078;Fallo señal de medida de presion de carga;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1239;Parada fallo general;M02            ;B;;;;;;;;;
2022-12-14 16:50:26 ;313;1134;Fallo a tierra;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;1250;Starter desconectado;M02            ;B;Counters.OpHour;15745;192;Counters.Start;733;192;;;
2022-12-14 16:50:26 ;313;3311;Fallo en tarjeta I/O;M02            ;A;Aux.PreChambDifPress;0;192;;;;;;
2022-12-14 16:50:26 ;313;2573;Falla protección de sobretensión generador;M02            ;W;;;;;;;;;
2022-12-14 16:50:26 ;313;1101;Fallo transformador;M02            ;A;;;;;;;;;
2022-12-14 16:50:26 ;313;3412;Fallo equipo monitorizador de la red / relé de protección del generador;M02            ;W;;;;;;;;;
2022-12-14 16:50:26 ;313;1230;Desconectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:50:26 ;63;1249;Starter conectado;M02            ;B;Counters.OpHour;15745;192;Counters.Start;733;192;;;
2022-12-14 16:50:26 ;313;1140;Fallo fusible del armario de gruppo;M02            ;A;;;;;;;;;
2022-12-14 16:49:57 ;204;1229;Conectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:49:57 ;204;1231;Conectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:49:55 ;844;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:49:55 ;563;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:46:41 ;516;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:46:38 ;313;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:46:33 ;750;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:46:32 ;688;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:46:31 ;422;1114;Falla de señal de medición temperatura de carga ;M02            ;A;;;;;;;;;
2022-12-14 16:46:31 ;422;2109;Temp. de los cojinetes del generador lado de accionamiento DE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;422;2106;Fallo señal de medida temperatura de los bobinados L1 generador;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;422;2110;Temp. de los cojinetes del generador lado opuesto al accionamiento NDE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;422;2108;Fallo señal de medida temperatura de los bobinados L3 generador;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;422;3526;Falla de señal de medición temperatura de retorno ante motor;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;422;2107;Fallo señal de medida temperatura de los bobinados L2 generador;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;313;2101;Fallo señal de medida  de temperatura agua de camisas;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;313;2102;Fallo señal de medida de temperatura del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;188;1186;Falla señal de medición de temperatura agua de retorno;M02            ;W;;;;;;;;;
2022-12-14 16:46:31 ;188;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:46:31 ;313;3223;Falla de señal de medición temperatura de aire de aspiración;M02            ;W;;;;;;;;;
2022-12-14 16:46:30 ;625;3152;Fallo señal de medida de temperatura ambiente;M02            ;W;;;;;;;;;
2022-12-14 16:46:28 ;641;1145;Temperatura minima de agua camisas;M02            ;W;Hyd.TempCoolWat;0;192;;;;;;
2022-12-14 16:46:28 ;641;3564;Falla válvulas de turboderivación;M02            ;W;;;;;;;;;
2022-12-14 16:46:28 ;375;1192;Fallo actuador;M02            ;W;;;;;;;;;
2022-12-14 16:46:27 ;125;3003;Fallo señal de medida ;M02            ;A;;;;;;;;;
2022-12-14 16:46:27 ;438;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:46:27 ;563;2104;Fallo señal de medida de presion agua de camisas;M02            ;W;;;;;;;;;
2022-12-14 16:46:26 ;860;2103;Fallo señal de medida de presion del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:46:26 ;625;1056;Circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;625;1078;Fallo señal de medida de presion de carga;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;1031;Parada de emergencia / circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;1134;Fallo a tierra;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;1140;Fallo fusible del armario de gruppo;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;1052;Prealarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;3311;Fallo en tarjeta I/O;M02            ;A;Aux.PreChambDifPress;0;192;;;;;;
2022-12-14 16:46:26 ;516;1054;Alarma fuego;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;1230;Desconectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:46:26 ;516;1101;Fallo transformador;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;1232;Desconectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:46:26 ;516;1053;Alarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;1239;Parada fallo general;M02            ;B;;;;;;;;;
2022-12-14 16:46:26 ;516;1036;Generador sobrecarga/cortocircuito;M02            ;A;MMD.CurrMax1;2381;192;MMD.CurrMax2;4058;192;MMD.CurrMax3;2875;192
2022-12-14 16:46:26 ;516;1250;Starter desconectado;M02            ;B;Counters.OpHour;15745;192;Counters.Start;733;192;;;
2022-12-14 16:46:26 ;516;1073;Conversor múltiple: sobrecarga del generador/cortocircuito;M02            ;A;;;;;;;;;
2022-12-14 16:46:26 ;516;2573;Falla protección de sobretensión generador;M02            ;W;;;;;;;;;
2022-12-14 16:46:26 ;516;3412;Fallo equipo monitorizador de la red / relé de protección del generador;M02            ;W;;;;;;;;;
2022-12-14 16:46:26 ;313;1249;Starter conectado;M02            ;B;Counters.OpHour;15745;192;Counters.Start;732;192;;;
2022-12-14 16:45:57 ;813;1231;Conectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:45:57 ;313;1229;Conectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:45:56 ;938;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:45:55 ;750;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:45:25 ;188;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:45:22 ;344;1230;Desconectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:45:21 ;204;1229;Conectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:45:20 ;516;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:45:19 ;563;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:45:15 ;938;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:45:12 ;625;1175;Fallo de la red;M02            ;W;Generator.VoltExit;0;192;;;;;;
2022-12-14 16:45:12 ;875;1189;Falta autorizacion para la sincronizacion;M02            ;W;;;;;;;;;
2022-12-14 16:45:12 ;516;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:45:12 ;204;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:45:11 ;516;1163;Fallo señal de medida de la temp. de gas de escape salida del turbocargador;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;938;2109;Temp. de los cojinetes del generador lado de accionamiento DE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;938;2110;Temp. de los cojinetes del generador lado opuesto al accionamiento NDE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;813;1114;Falla de señal de medición temperatura de carga ;M02            ;A;;;;;;;;;
2022-12-14 16:45:10 ;813;1078;Fallo señal de medida de presion de carga;M02            ;A;;;;;;;;;
2022-12-14 16:45:10 ;813;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:45:10 ;813;1186;Falla señal de medición de temperatura agua de retorno;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;813;3526;Falla de señal de medición temperatura de retorno ante motor;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;813;2106;Fallo señal de medida temperatura de los bobinados L1 generador;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;688;2101;Fallo señal de medida  de temperatura agua de camisas;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;813;2108;Fallo señal de medida temperatura de los bobinados L3 generador;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;688;2102;Fallo señal de medida de temperatura del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;813;2107;Fallo señal de medida temperatura de los bobinados L2 generador;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;688;3223;Falla de señal de medición temperatura de aire de aspiración;M02            ;W;;;;;;;;;
2022-12-14 16:45:10 ;141;3152;Fallo señal de medida de temperatura ambiente;M02            ;W;;;;;;;;;
2022-12-14 16:45:08 ;141;1145;Temperatura minima de agua camisas;M02            ;W;Hyd.TempCoolWat;0;192;;;;;;
2022-12-14 16:45:07 ;750;3564;Falla válvulas de turboderivación;M02            ;W;;;;;;;;;
2022-12-14 16:45:07 ;188;2104;Fallo señal de medida de presion agua de camisas;M02            ;W;;;;;;;;;
2022-12-14 16:45:06 ;625;3003;Fallo señal de medida ;M02            ;A;;;;;;;;;
2022-12-14 16:45:06 ;938;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:45:06 ;313;2103;Fallo señal de medida de presion del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:45:05 ;938;1078;Fallo señal de medida de presion de carga;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;813;1031;Parada de emergencia / circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;813;1036;Generador sobrecarga/cortocircuito;M02            ;A;MMD.CurrMax1;2381;192;MMD.CurrMax2;4058;192;MMD.CurrMax3;2875;192
2022-12-14 16:45:05 ;938;1189;Falta autorizacion para la sincronizacion;M02            ;W;;;;;;;;;
2022-12-14 16:45:05 ;813;1052;Prealarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;938;1175;Fallo de la red;M02            ;W;Generator.VoltExit;0;192;;;;;;
2022-12-14 16:45:05 ;813;1053;Alarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;813;1054;Alarma fuego;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;813;1230;Desconectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:45:05 ;813;1232;Desconectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:45:05 ;813;1073;Conversor múltiple: sobrecarga del generador/cortocircuito;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;813;1239;Parada fallo general;M02            ;B;;;;;;;;;
2022-12-14 16:45:05 ;813;1134;Fallo a tierra;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;813;2573;Falla protección de sobretensión generador;M02            ;W;;;;;;;;;
2022-12-14 16:45:05 ;813;3311;Fallo en tarjeta I/O;M02            ;A;Aux.PreChambDifPress;0;192;;;;;;
2022-12-14 16:45:05 ;813;3412;Fallo equipo monitorizador de la red / relé de protección del generador;M02            ;W;;;;;;;;;
2022-12-14 16:45:05 ;813;1101;Fallo transformador;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;141;1231;Conectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:45:05 ;813;1056;Circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:45:05 ;813;1140;Fallo fusible del armario de gruppo;M02            ;A;;;;;;;;;
2022-12-14 16:45:04 ;188;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:45:04 ;188;1229;Conectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:42:20 ;938;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:42:17 ;625;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:42:16 ;110;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:42:14 ;375;1239;Parada fallo general;M02            ;B;;;;;;;;;
2022-12-14 16:42:14 ;188;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:42:12 ;813;1189;Falta autorizacion para la sincronizacion;M02            ;W;;;;;;;;;
2022-12-14 16:42:12 ;563;1175;Fallo de la red;M02            ;W;Generator.VoltExit;0;192;;;;;;
2022-12-14 16:42:12 ;313;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:42:11 ;625;3271;SAFI Fallo comunicación CAN cilindro;M02            ;B;Ignition.SAFI.CylNrCANErr;11;192;;;;;;
2022-12-14 16:42:09 ;563;3331;SAFI Fallo comunicación CAN;M02            ;A;;;;;;;;;
2022-12-14 16:42:09 ;563;1239;Parada fallo general;M02            ;B;;;;;;;;;
2022-12-14 16:42:03 ;563;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:42:01 ;750;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:41:58 ;547;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:41:53 ;313;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:41:52 ;125;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:41:50 ;813;1163;Fallo señal de medida de la temp. de gas de escape salida del turbocargador;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;688;1114;Falla de señal de medición temperatura de carga ;M02            ;A;;;;;;;;;
2022-12-14 16:41:49 ;688;1186;Falla señal de medición de temperatura agua de retorno;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;688;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:41:49 ;688;2109;Temp. de los cojinetes del generador lado de accionamiento DE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;688;2110;Temp. de los cojinetes del generador lado opuesto al accionamiento NDE Fallo en la señal de medición;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;438;2106;Fallo señal de medida temperatura de los bobinados L1 generador;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;688;3526;Falla de señal de medición temperatura de retorno ante motor;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;438;2107;Fallo señal de medida temperatura de los bobinados L2 generador;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;438;2102;Fallo señal de medida de temperatura del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;438;2108;Fallo señal de medida temperatura de los bobinados L3 generador;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;438;2101;Fallo señal de medida  de temperatura agua de camisas;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;438;3223;Falla de señal de medición temperatura de aire de aspiración;M02            ;W;;;;;;;;;
2022-12-14 16:41:49 ;172;3152;Fallo señal de medida de temperatura ambiente;M02            ;W;;;;;;;;;
2022-12-14 16:41:47 ;157;1145;Temperatura minima de agua camisas;M02            ;W;Hyd.TempCoolWat;0;192;;;;;;
2022-12-14 16:41:46 ;907;3564;Falla válvulas de turboderivación;M02            ;W;;;;;;;;;
2022-12-14 16:41:45 ;938;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:41:45 ;219;2103;Fallo señal de medida de presion del aceite;M02            ;W;;;;;;;;;
2022-12-14 16:41:45 ;438;3003;Fallo señal de medida ;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1031;Parada de emergencia / circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1036;Generador sobrecarga/cortocircuito;M02            ;A;MMD.CurrMax1;2381;192;MMD.CurrMax2;4058;192;MMD.CurrMax3;2875;192
2022-12-14 16:41:44 ;969;1054;Alarma fuego;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1056;Circuito de seguridad abierto;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1053;Alarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1073;Conversor múltiple: sobrecarga del generador/cortocircuito;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1052;Prealarma gas;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1078;Fallo señal de medida de presion de carga;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;1101;Fallo transformador;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;875;1232;Desconectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:41:44 ;875;1239;Parada fallo general;M02            ;B;;;;;;;;;
2022-12-14 16:41:44 ;969;3311;Fallo en tarjeta I/O;M02            ;A;Aux.PreChambDifPress;0;192;;;;;;
2022-12-14 16:41:44 ;188;1231;Conectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 16:41:44 ;969;3412;Fallo equipo monitorizador de la red / relé de protección del generador;M02            ;W;;;;;;;;;
2022-12-14 16:41:44 ;969;1134;Fallo a tierra;M02            ;A;;;;;;;;;
2022-12-14 16:41:44 ;969;2573;Falla protección de sobretensión generador;M02            ;W;;;;;;;;;
2022-12-14 16:41:44 ;875;1230;Desconectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:41:44 ;875;1140;Fallo fusible del armario de gruppo;M02            ;A;;;;;;;;;
2022-12-14 16:41:43 ;313;1229;Conectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 16:41:43 ;188;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:41:41 ;938;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:41:39 ;172;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:41:35 ;688;1189;Falta autorizacion para la sincronizacion;M02            ;W;;;;;;;;;
2022-12-14 16:41:35 ;438;1175;Fallo de la red;M02            ;W;Generator.VoltExit;0;192;;;;;;
2022-12-14 16:41:35 ;313;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:41:31 ;860;3255;Registro DIA.NE XT;M02            ;B;Various.Values.UserNG;;24;Various.Values.PassLevelNG;10;192;;;
2022-12-14 16:41:10 ;141;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:41:09 ;188;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:41:07 ;625;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:38:11 ;204;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:38:10 ;454;1256;Confirmar;M02            ;B;;;;;;;;;
2022-12-14 16:38:02 ;532;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:38:02 ;860;1227;Selector de servicio Automatico;M02            ;B;;;;;;;;;
2022-12-14 16:37:56 ;704;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 16:37:54 ;829;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 16:30:00 ;875;9007;Aviso por hora;M02            ;B;;;;;;;;;
2022-12-14 16:26:29 ;204;1225;Selector de servicio Desconectado;M02            ;B;;;;;;;;;
2022-12-14 15:58:17 ;532;1226;Selector de servico Manual;M02            ;B;;;;;;;;;
2022-12-14 15:46:02 ;954;3226;Encendido desconectado;M02            ;B;;;;;;;;;
2022-12-14 15:45:43 ;594;3264;Desconectado disyuntor de red;M02            ;B;;;;;;;;;
2022-12-14 15:45:43 ;594;3266;Fallo de red;M02            ;B;;;;;;;;;
2022-12-14 15:45:43 ;625;1189;Falta autorizacion para la sincronizacion;M02            ;W;;;;;;;;;
2022-12-14 15:45:43 ;594;1175;Fallo de la red;M02            ;W;Generator.VoltExit;15,8;192;;;;;;
2022-12-14 15:45:43 ;625;2140;Peticion de energ. emergencia;M02            ;B;;;;;;;;;
2022-12-14 15:45:42 ;813;1236;Desconectado disyuntor del generador;M02            ;B;;;;;;;;;
2022-12-14 15:45:42 ;813;2124;Funcionamiento en vacio;M02            ;B;;;;;;;;;
2022-12-14 15:45:42 ;219;1234;Fuera de funcionamiento;M02            ;B;Counters.OpHour;15745;192;;;;;;
2022-12-14 15:45:42 ;219;1109;Fallo de tension de excitaci ón generador;M02            ;A;MMD.PowerReact;-408;192;;;;;;
2022-12-14 15:45:42 ;219;1239;Parada fallo general;M02            ;B;;;;;;;;;
2022-12-14 15:45:42 ;219;1232;Desconectada peticion a modulo;M02            ;B;;;;;;;;;
2022-12-14 15:45:42 ;219;1230;Desconectado servicio automatico;M02            ;B;;;;;;;;;
2022-12-14 15:30:00 ;938;9007;Aviso por hora;M02            ;B;;;;;;;;;
2022-12-14 14:30:00 ;360;9007;Aviso por hora;M02            ;B;;;;;;;;;
